Brand_name,Brand_url,Brand_Introduction,Brand_Price,Brand_Version
Fresh,https://www.sephora.com/product/ready-set-firm-P436358?icid2=products%20grid:p436358:product,"Ready, Set, Firm",$112.00 ,Limited Edition
Too Faced,https://www.sephora.com/product/under-christmas-tree-breakaway-face-eye-set-P435952?icid2=products%20grid:p435952:product,Under the Christmas Tree Breakaway Face & Eye Set,$49.00 ,Limited Edition
Benefit Cosmetics,https://www.sephora.com/product/magical-brow-stars-blockbuster-brow-set-P437284?icid2=products%20grid:p437284:product,Magical Brow Stars! Blockbuster Brow Set,$59.00 ,Limited Edition
Marc Jacobs Beauty,https://www.sephora.com/product/o-mega-glaze-all-over-foil-luminizer-P435967?icid2=products%20grid:p435967:product,O!Mega Glaze All-Over Foil Luminizer,$49.00 ,Limited Edition
FENTY BEAUTY by Rihanna,https://www.sephora.com/product/bomb-baby-mini-lip-face-set-P427643?icid2=products%20grid:p427643:product,Bomb Baby Mini Lip and Face Set,$23.00 ,exclusive
Too Faced,https://www.sephora.com/product/dream-queen-limited-edition-make-up-collection-P435851?icid2=products%20grid:p435851:product,Dream Queen Limited-Edition Make Up Collection,$58.00 ,Limited Edition
Caudalie,https://www.sephora.com/product/brightening-heroes-P437256?icid2=products%20grid:p437256:product,Brightening Heroes,$79.00 ,Limited Edition
Urban Decay,https://www.sephora.com/product/naked-heat-palette-P420913?icid2=products%20grid:p420913:product,Naked Heat Palette,$29.00 - $54.00,
Shiseido,https://www.sephora.com/product/everyday-protection-essentials-P436655?icid2=products%20grid:p436655:product,Everyday Protection Essentials,$34.00 ,Limited Edition
belif,https://www.sephora.com/product/merry-merry-moisturizers-P436686?icid2=products%20grid:p436686:product,Merry Merry Moisturizers,$38.00 ,Limited Edition
NARS,https://www.sephora.com/product/orgasm-blush-P13248578?icid2=products%20grid:p13248578:product,Orgasm Blush,$39.00 ,
Anastasia Beverly Hills,https://www.sephora.com/product/modern-renaissance-eye-shadow-palette-P409118?icid2=products%20grid:p409118:product,Modern Renaissance Eye Shadow Palette,$42.00 ,
LANEIGE,https://www.sephora.com/product/sleep-glow-set-P436692?icid2=products%20grid:p436692:product,Sleep and Glow Set,$39.00 ,Limited Edition
Lancome,https://www.sephora.com/product/lancome-holiday-favorites-P435212?icid2=products%20grid:p435212:product,Lanc?me Holiday Favorites,$78.00 ,Limited Edition
